"","Modelo","AIC","BIC"
"1","arima123",67.5131268165515,71.3760704277504
"2","arima120",62.1976548289015,63.742832273381
"3","arima121",63.9316599037059,66.2494260704253
"4","arima122",65.8452749732473,68.9356298622064
"5","arima220",63.9932940229064,66.3110601896257
"6","arima221",65.809672953719,68.9000278426781
"7","arima222",67.7993723832403,71.6623159944392
"8","arima223",67.6638115188754,72.2993438523141
"9","arima021",64.8723767464899,66.4175541909694
"10","arima021",64.8723767464899,66.4175541909694
"11","arima022",65.0727642375759,67.3905304042952
"12","arima023",66.3905519702677,69.4809068592268
